,Text,Label
45665,site about Pong it s origins,tat
45948,محمد بيتقسموا للأوس و الخزرج ، و,hau
49344,To Beast or Not To Beast (2013),ile
50370,List of best-selling albums in Australia,pam
55531,Kumayelana nokutjhugulula amadorobha wethu amakhulu namancani nokwakha imiphakathi ehlangeneko  edzimeleleko  nenakekelako ngokufikelela lula emsebenzini neendawo zokuzithabisa emphakathini  sekufakwe phakathi iintlabagelo zezemidlalo nezokuzithabisa.,nbl
57269,Imodoka irimwo ibibombe yaturikiye hafi y'inama nshingamateka muri Somalia,kin
60419,Cabras è un cumuni talianu dâ pruvincia di Oristanu ntâ Sardigna.,srd
65660,conseyeru d' Industria Turismu Isaac Pola Feito,nso
67625,الهيئة الاسلامية فى ايرلندا Islamic Foundation of Ireland,mwl
68165,Michael Metzeltin  Las lenguas románicas estándar. Historia de su formación y de su uso. Academia de la Llingua Asturiana  Uviéu 2004.,ido
68370,"show"" as synonym for render. Use ""createrender",san
84525,An Rosalia lateritia in uska species han Coleoptera nga syahan ginhulagway ni Hope hadton 1831.,war
91295,Da Ort hod bei da Voikszejung 94,hin
95806,Ingabe abahloli bakukatelela njani ukusebenza kwemithetho?,nde
96776,Gardel interpreta: Rubias de New York  Golondrinas  Soledad y Caminito soleado.,aym
101684,"MirrorPantallas en Espejo""  *not* ""Espejar Pantallas",san
104171,Lapha ngiqalise kumnumzana u-TM Shabangu owengamele iziko lezelimi lesiNdebele seSewula. Ngitlhoge amezwi wokukuthokoza ngekuthazo begodu nangesizo obe ngilo kimi ungitatayisa bona ngitlole ibhugwana le. lbhugwana le ililitje nami engiliphosa esiqorhweni samatje esizokukhulisa isizukulwana sikaMusi kaMhlanga. Isiqorhwesi satlanywa nguMnu JS Mtsweni ogade amunyisa abantwana isiNdebele. UNodindwa lo sele ayikutana yesikhethu gadesi.,nde
109733,2. Peserta ujian yang terlambat hadir hanya diperkenankan mengikuti ujian setelah mendapat ijin dari ketua penyelenggara tingkat satuan pendidikan  tanpa diberi perpanjangan waktu.,ban
110145,Из Стамбула в Ташкент: Фотопленки Поля Надара (1890). Часть 10. Бухара,tuk
111057,Isivumelwanesi-ke nokho asikwazi ukufuna namkha ukuvumela umsebenzi asebenze a.,nde
114004,MD5 to często używana kryptograficzna funkcja skrótu.,mos
119287,al cayente pos les élites sureñes víen al Klan como una sida por,uig
120276,eenquntweni zeHlangano yeenTjhaba eziBumbeneko mayelana nokubekwa ebujameni obamukelekako kwamagama wamaJamo-bumbeko.,nde
127175,Inengi labantu enarheni yokana banamatshwayo wezinga elilingeneko begodu ngeze batlhoga itjhejo elikhethekileko lezokwelatjhwa. Ngebangelo abantu abanamatshwayo wezinga elilingeneko kufanele balatjhwe njengalokha kulatjhwa amatshwayo womgomani ojayelekileko.,nde
127738,Ahobaa Afahyɛe yɛ afehyia afahyɛ a ahenfo ne wɔn manfoɔ a wɔn wɔ Enyan-kakraba a eben Saltpond wɔ Mfinfin Mantam wɔ Ghana no di. Wodi saa afahyɛ yi wɔ bosome a ɛtɔ so nsia no mu.,twi
133831,tipo pibe le había dich o,uig
137577,Da Ort hod bei da Voikszejung 94,hin
142955,Portugal sanofi- aventis - Produtos Farmacêuticos  S. A.,swe
148897,"""Utjho bonyana kungenzeka bona uMondliwa uzama ukulahlaumtlhala?",nde
151809,19:29 Noonu dëkk bépp jaxasoo. Ñu bokk benn xalaat  daldi ne milib ca powukaay ba  diri Gayus ak Aristàrk  waa Maseduwan  ñi ànd ak Pool.,scn
152664,Atribuyíense -y cientu diez años d'edá,uig
156220,To Beast or Not To Beast (2013),ile
157471,"%s"" is used in the dash preview to display the ""<hint>: <value>",miq
158346,Si Frank man naaresto huli ta nakikiapid sa babaeng may'agom  kaidto sarong krimen pa.,bcl
159753,Sa ngonyan  dawa dai pa totoo naimprinta  igwa na siyang hinaman na diksyunaryong Ingles-Bikol (tolong tomo)  sadiring autobiograpiya  asin sinurat na salaysay manongod kan kalakawan kan tyempo Hapon igdi sa Camarines Sur.,bcl
166792,""" الهيئه International Association for Coptic Studies",lin
168149,Nĩkĩo marũa ma backcountry mweri-inĩ wa gatano monekanaga mweri ĩmwe mweri-inĩ wa mũgaa.,kik
173761,Republic ya Dominica (Spanish: Republica Dominicana) ni bũrũri wa Caribbean ũrĩa ũkoragwo nuthu-inĩ ya irathĩro island ya Hispaniola  mahakanite na Haiti.,kik
176584,Okwenzakalako eSewula Afrika kukobana urhulumende wemakhaya usebenzisa idemokhrasi yehlanganyelo. Ungakghona ukuzwisisa bona kungebanga lani: Urhulumende uqalene neendaba ezisithinta imihla namalanga. Lokhu sikubiza bona ziindaba zangamalanga.,nde
176843,Вовк В. Парастас для Стефанії Туркевич-Лукіянович // Наше Життя. – Нью-Йорк  1992. – Ч. 5. – С. 6–9.,crh
176874,Amalwelwe wehliziyo: Ukusela kuzakwenza bona ihliziywakho isebenze budisi khulu begodu lokho kukufakele amalwelwe wehliziyo.,nbl
180034,syslinux configconfig as used by syslinux,uig
186073,Nagluwas sa librong Camarines by the Vicor River.,bik
